DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2000-08,9644,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2000-09,8913,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2000-10,9406,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2000-11,11084,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2000-12,8779,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2001-01,8776,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2001-02,8830,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2001-03,9594,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2001-04,9076,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2001-05,13346,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2001-06,11963,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-07,15833,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-08,15396,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-09,15909,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-10,14658,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-11,16171,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-12,13746,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-01,12780,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-02,13901,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-03,16542,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-04,13892,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-05,18668,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-06,17494,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-07,15329,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-08,18745,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-09,17457,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-10,15032,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-11,15693,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1994-12,12841,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-01,11198,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-02,11919,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-03,13113,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-04,10291,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-05,13788,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-06,12066,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-07,11319,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-08,11585,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-09,10970,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-10,10163,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-11,10965,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1995-12,8724,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-01,8226,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-02,9965,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-03,9785,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-04,9676,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-05,12029,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-06,9544,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-07,11963,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-02,11481,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-03,13435,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-04,13108,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-05,13937,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-06,14694,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-07,14539,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-08,13532,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-09,14310,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-10,14442,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-11,14623,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-12,14071,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-01,11973,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-02,13050,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-03,15809,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-04,14200,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-05,14874,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1993-06,15440,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1991-07,12755,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1991-08,12307,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1991-09,12152,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1991-10,13241,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1991-11,11973,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1991-12,10744,NUM,0,,
