DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT,MEASURE_NAME,VALUE_NAME,TSEST_NAME,FREQ_NAME,OBS_STATUS_NAME,UNIT_MEASURE_NAME,UNIT_MULT_NAME
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1998-06,852090,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1998-07,866048,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1998-08,942778,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1998-09,631609,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1998-10,699737,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1998-11,865059,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1998-12,664744,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-01,538553,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-02,763518,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-03,821639,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-04,600269,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-05,853880,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-06,927797,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-07,954332,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-08,1050299,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-09,680127,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-10,689991,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-11,746203,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1999-12,805604,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-01,746690,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-02,793071,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-03,875042,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-04,832438,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-05,767959,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-06,643493,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-07,487508,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-08,576754,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-09,569806,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-10,688263,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-11,679496,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2000-12,460902,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2001-01,644785,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2001-02,618724,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2001-03,481994,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2001-04,495377,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2001-05,701706,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,2001-06,685073,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1993-04,492626,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1993-05,474559,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1993-06,486541,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1993-07,519377,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1993-08,512548,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1993-09,569215,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1993-10,491366,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1993-11,558234,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1993-12,446536,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-01,521007,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-02,457474,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-03,476757,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-04,528705,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-05,568688,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-06,643733,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-07,538595,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-08,854343,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-09,689737,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-10,523554,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-11,557677,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1994-12,494480,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-01,466917,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-02,600716,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-03,581091,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-04,956899,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-05,694940,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-06,475379,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-07,689125,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-08,654115,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-09,525062,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-10,626616,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-11,593817,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
